country,description,designation,points,price,province,region_1,region_2,variety,winery
Italy,This is a sample wine description 1 with rich flavors and a long finish.,Vineyard B 9,86,1461.92,Rioja,Region 2,Sub-region 3,Zinfandel,Penfolds
France,This is a sample wine description 2 with rich flavors and a long finish.,Vineyard E 5,99,1278.74,California,Region 2,Sub-region 1,Riesling,Henschke
Chile,This is a sample wine description 3 with rich flavors and a long finish.,Vineyard E 7,94,1775.55,Rioja,Region 2,Sub-region 3,Cabernet Sauvignon,Domaine de la Romanée-Conti
US,This is a sample wine description 4 with rich flavors and a long finish.,Vineyard E 7,90,949.71,Bordeaux,Region 2,Sub-region 1,Merlot,Cloudy Bay
US,This is a sample wine description 5 with rich flavors and a long finish.,Vineyard C 4,87,247.99,Mosel,Region 4,Sub-region 2,Riesling,Caymus
Spain,This is a sample wine description 6 with rich flavors and a long finish.,Vineyard B 9,86,1429.36,Rioja,Region 1,Sub-region 3,Riesling,Torres
Italy,This is a sample wine description 7 with rich flavors and a long finish.,Vineyard D 2,98,1523.96,Rioja,Region 2,Sub-region 3,Sangiovese,Cloudy Bay
Portugal,This is a sample wine description 8 with rich flavors and a long finish.,Vineyard A 2,90,1126.94,Marlborough,Region 3,Sub-region 3,Cabernet Sauvignon,Penfolds
Italy,This is a sample wine description 9 with rich flavors and a long finish.,Vineyard B 3,90,1544.22,Barossa Valley,Region 4,Sub-region 3,Sangiovese,Caymus
New Zealand,This is a sample wine description 10 with rich flavors and a long finish.,Vineyard D 10,83,992.65,Mendoza,Region 2,Sub-region 2,Riesling,Cloudy Bay
Australia,This is a sample wine description 11 with rich flavors and a long finish.,Vineyard A 7,87,1050.24,Catalonia,Region 3,Sub-region 1,Zinfandel,Domaine de la Romanée-Conti
France,This is a sample wine description 12 with rich flavors and a long finish.,Vineyard D 10,82,860.81,Barossa Valley,Region 2,Sub-region 1,Cabernet Sauvignon,Torres
France,This is a sample wine description 13 with rich flavors and a long finish.,Vineyard D 9,81,60.58,Catalonia,Region 1,Sub-region 3,Sauvignon Blanc,Antinori
Italy,This is a sample wine description 14 with rich flavors and a long finish.,Vineyard C 9,91,224.7,Mendoza,Region 4,Sub-region 2,Syrah,Penfolds
US,This is a sample wine description 15 with rich flavors and a long finish.,Vineyard A 2,85,72.54,Mosel,Region 1,Sub-region 1,Riesling,Torres
